,others,query,source,suggestion,title,word
abc1401,,6,added space before digit,abc 1401,0,abc1401
abralon,[],6,from all products,,0,abralon
abz,[],7,from all products,,0,abz
accesorios,"[('accessories', 509)]",11,from all products,accessories,0,accesorios
acondicionado,[],17,from all products,,0,acondicionado
acq,[],15,from all products,,0,acq
adaapter,"[('adapter', 1444), ('adapters', 26)]",6,from all products,adapter,0,adaapter
adara,"[('aaa', 84), ('ada', 86), ('ara', 20), ('adora', 53), ('radar', 52), ('adr', 14), ('mandara', 66), ('avara', 16)]",16,from all products,mandara,0,adara
adi,"[('radio', 142), ('audio', 144), ('sadie', 12)]",11,from all products,,0,adi
adj,[],9,from all products,,0,adj
adk,[],13,from all products,,0,adk
adrienne,"[('andenne', 16)]",11,from matched products,andenne,0,adrienne
adrone,"[('adorne', 135)]",11,from matched products,adorne,0,adrone
afakro,"[('fakro', 60)]",14,from matched products,fakro,0,afakro
afi,"[('afci', 28)]",1,from matched products,afci,0,afi
against,[],10,from all products,,0,against
agustin,"[('augustine', 14), ('austin', 61)]",11,from all products,austin,0,agustin
airconditioner,[],44,from bigrams,air conditioner,0,airconditioner
airens,"[('ariens', 287)]",1,from matched products,ariens,0,airens
airhose,[],2,from bigrams,air hose,0,airhose
airnailer,[],9,from bigrams,air nailer,0,airnailer
airvents,[],1,from all products,,0,airvents
akc,[],13,from all products,,0,akc
akio,"[('akro', 21)]",16,from all products,akro,0,akio
akita,"[('makita', 1091)]",12,from matched products,makita,0,akita
alick,"[('alike', 36), ('click', 395)]",2,from all products,,0,alick
all18,,10,added space before digit,all 18,0,all18
alm,"[('alarm', 565), ('palm', 242), ('alum', 56), ('salem', 41)]",1,from all products,,0,alm
alu,"[('value', 516), ('alum', 56)]",15,from all products,alum,0,alu
alvin,"[('lin', 58), ('align', 17)]",11,from all products,align,0,alvin
amco,"[('camo', 152), ('raco', 494), ('emco', 174), ('camco', 88), ('taco', 30)]",10,from all products,camco,0,amco
americna,"[('american', 2961), ('americast', 50)]",11,from matched products,american,0,americna
amt,[],12,from all products,,0,amt
anabelle,[],8,from all products,,0,anabelle
andril,"[('handrail', 206)]",15,from all products,handrail,0,andril
